DialogueID,Type,CharacterImage,CharacterName,Text,Choice1,Choice1Next,Choice2,Choice2Next,Choice3,Choice3Next
1,Choice,Scene/Characters/Az_Idle,호기심 많은 천사 아자젤,"""하느님 맙소사! 살아있는 인간이 지옥에서 뭘 하고 있는 거죠?\n흔치 않은 일이네요.""","""악마를 찾고 있어.""",2,"""천사를 찾고 있어.""",101,,
2,Success,Scene/Characters/Az_Note,호기심 많은 천사 아자젤,"""아, 그쪽도요? 혹시, 현대 죄악 관련 논문인가요?\n아니면 악마학? 같이 하는 게 좋겠어요.""",,,,,,
101,Dialogue,Scene/Characters/Az_Idle,호기심 많은 천사 아자젤,"""여기선 찾기 힘들거예요. 다행히 제가 좋은 곳을 알고 있죠.\n자, 손을 잡으세요.""",,,,,,
102,GameOver,,,"""거짓말 때문에 천국에 가리라고 누가 예상이나 했을까.""",,,,,,
103,GameOver,,,"""악마 하렘과는 영영 이별이지만.""",,,,,,
201,Advice,Scene/Characters/Zd_Idle,상스러운 악마 즈드라다,"""나한테 힌트 구걸하지 마. 내가 아스퍼거도 아니고.""",,,,,,
202,Advice,Scene/Characters/Zd_Idle,상스러운 악마 즈드라다,"""차라리 가시로 자살해 봐. 그건 재밌기라도 하겠다.""",,,,,,
203,Advice,Scene/Characters/Mal_Idle,시큰둥한 악마 말리나,"""언니는 항상 저래. 네가 왜 초대했는지 모르겠다...""",,,,,,
204,Advice,Scene/Characters/Zd_Laugh,상스러운 악마 즈드라다,"""그러게. 뭔 생각으로 그랬냐?\n그래도 말린카를 끼워 줘서 고맙다 야.""",,,,,,
205,Advice,Scene/Characters/Zd_Idle,상스러운 악마 즈드라다,"""쟨 혼자서 듣도 보도 못한 아스퍼거스러운 게임이나 하면서\n시간을 때우더라.""",,,,,,
206,Advice,Scene/Characters/Mal_Idle,시큰둥한 악마 말리나,"""안 닥칠래?""",,,,,,
207,Advice,Scene/Characters/Zd_Idle,상스러운 악마 즈드라다,"""게임 하면서 쟤가 얼마나 꼴 받아 하는지 알아?\n한번은 쟤가...""",,,,,,
208,Choice,Scene/Characters/Mal_Puzzled,시큰둥한 악마 말리나,"""우리 둘 중에 하나는 죽여줘. 빨리.""","""둘 다 택한다""",209,"""죽음을 택한다""",301,,
209,Advice,Scene/Characters/Pand_Idle,피곤한 악마 판데모니카,"""그냥 냅두세요. 나중엔 익숙해질테니.""",,,,,,
301,Advice,Scene/Characters/Pand_Flust,피곤한 악마 판데모니카,"""뭐 하는 짓이에요? 잠시만! ㅁ-""",,,,,,
302,GameOver,,,"""더 이상 버틸 수가 없었던 당신은\n즈드라다 말마따나 가시로 죽음을 택하였다.""",,,,,,
